Date,USD_PKR,USD_IRR,PKR_IRR,PKR_USD,IRR_USD,Year,Month,Quarter,DayOfWeek,WeekOfYear,PKR_DailyChange%,IRR_DailyChange%,PKR_MA30,PKR_MA90,IRR_MA30,IRR_MA90,PKR_Volatility30,IRR_Volatility30,PKR_CumChange%,IRR_CumChange%,Decade,PKR_Drawdown%,IRR_Drawdown%
2010-05-31,83.96700286865234,9813.0,116.86733674834447,0.011909440206699732,0.00010190563538163661,2010,5,2,0,22,-1.215290742761943,-1.5747241725175498,83.97610015869141,84.11208894517686,9841.333333333334,9776.057769097222,1.1270062251085347,3.3638484118277336,39.58441455001854,18.253138967778483,2010s,51.9517265683705,20.238200223496683
2010-06-01,85.4000015258789,9970.0,116.74472859322812,0.011709601664315759,0.00010030090270812437,2010,6,2,1,22,1.7066211824520838,1.5999184754917017,84.0227668762207,84.13281114366319,9844.5,9778.687771267361,1.1689998383587978,3.3759665279946094,41.96659173613087,20.145092785972842,2010s,54.544966921087976,22.161913403471104
2010-06-02,85.3499984741211,9975.0,116.87170683458784,0.011716461838053919,0.00010025062656641604,2010,6,2,2,22,-0.05855158180841924,0.05015045135405849,84.08110020955404,84.15426669650607,9847.833333333334,9781.473328993055,1.1648524627178165,3.375934533278088,41.88346805102988,20.205346092284763,2010s,54.45447839835038,22.223178154425703
2010-06-03,85.0999984741211,9970.0,117.1562888221658,0.011750881526796972,0.00010030090270812437,2010,6,2,3,22,-0.2929115459513465,-0.05012531328321135,84.12443339029947,84.17167782253689,9851.0,9784.211111111112,1.1663262038255884,3.375992182138577,41.46787499131222,20.145092785972842,2010s,54.00206339788268,22.161913403471104
2010-06-04,85.05000305175781,9970.0,117.22515746334167,0.011757789113675194,0.00010030090270812437,2010,6,2,4,22,-0.05874902850731001,0.0,84.15610020955404,84.18617782592773,9854.333333333334,9786.895551215277,1.16510998687956,3.3759338138522375,41.38476398910489,20.145092785972842,2010s,53.91158868175522,22.161913403471104
2010-06-07,85.4000015258789,9975.0,116.8032766015497,0.011709601664315759,0.00010025062656641604,2010,6,2,0,23,0.4115208248823832,0.05015045135405849,84.20610020955404,84.19173338148329,9857.666666666666,9789.704437934028,1.1657251490754597,3.3759340109384732,41.96659173613087,20.205346092284763,2010s,54.544966921087976,22.223178154425703
2010-06-08,85.25,9970.0,116.95014662756599,0.011730205278592375,0.00010030090270812437,2010,6,2,1,23,-0.1756458117081583,-0.05012531328321135,84.2511001586914,84.19728893703885,9861.0,9792.52443576389,1.1665071249241097,3.3759332915125997,41.71723336372155,20.145092785972842,2010s,54.27351515948533,22.161913403471104
2010-06-09,85.19999694824219,9965.0,116.96009808607856,0.011737089622285856,0.00010035122930255896,2010,6,2,2,23,-0.05865460616751861,-0.05015045135405849,84.29610010782878,84.20228890313042,9864.166666666666,9795.199989149305,1.166503806423039,3.375990984187372,41.63410967862055,20.08483947966092,2010s,54.18302663674774,22.1006486525165
2010-06-10,83.93399810791016,9808.2998046875,116.85729294197819,0.011914123269981076,0.00010195446916519501,2010,6,2,3,23,-1.485914185068704,-1.572505723156048,84.29556681315104,84.19322221544054,9861.943326822917,9796.199989149305,1.2000162343784915,3.3895683378120864,39.52954835201016,18.196498506200502,2010s,51.89199917298405,20.180608964445028
2010-06-11,85.19999694824219,9960.0,116.90141263796713,0.011737089622285856,0.00010040160642570282,2010,6,2,4,23,1.5083266243368865,1.5466512885342398,84.33889999389649,84.19766659206815,9864.943326822917,9798.906651475694,1.2307950916118362,3.4007422070250177,41.63410967862055,20.024586173349,2010s,54.18302663674774,22.039383901561905
